1-Methyl Adenosine	1-Methyladenosine	3012420	2968448	2903435	3068587	3260243	2518544	2221611	2665706	3035494	3102315	2914683	2277373	2513722	3003254	2875159	2783984	2665824	2997053	2813469	3169381	2612209	3332368	2185665	2528247	2601562	3564465	3146032	2928988	3327754	2599984	2236652	2823747	2707242	3176747	2956214	2838655	3704398	2368760	2632597	2678453	3194533	2904898	2584609	3143667	2919515	3016771	2410900	3214454	2648506	2948703	2892780	3259494	2986096	2781504	3549603	3427296	3435648	3060545	2391741	2406071	3211715	3537641	3211560	2600796	2760773	2311562	3205807	3483270	2514160	2929541	3445948	2735784	3145588	2901191	2934845	3059667	2313400	3434799	2931076	3492614	2960553	2520178	2804338	3292944	3583893	2522507	3584322	2543729	2997255	2727615	2613172	3354362	2995827	3175951
Proline	Proline	55261228	68369483	68186186	65314194	61364835	48865010	35662457	38093163	57800550	50262615	43254737	31061710	51714727	68789516	39615231	51395806	52503294	49728014	37702700	39528346	28231107	58221129	32015201	64854898	62612655	48384856	54324604	42717479	67179146	34383375	28342086	52118228	46257535	70576902	40977234	42679638	68645868	57348797	28542060	29924847	49848547	67920202	68968974	72785034	74394129	53323393	44023684	71838749	63122101	62872675	37842171	49821605	62182062	77216295	72019434	49227599	56803033	70414378	31197680	30425468	35435539	55191231	36032812	40317075	43206881	79254950	97211615	110504157	86160186	91958331	114110156	33133846	42059460	67295459	68690058	45623952	32693905	83230325	74128416	94853163	77320520	57278013	70640472	44113373	50139448	32133547	92710290	31426850	37516703	31149374	79940086	102454570	100311258	54198915
Propionylcarnitine	CAR 3:0	1619268	1740922	1598851	1365738	1717711	2152770	1835934	1732775	1278791	1517588	2136658	1273895	1832324	1396869	1539711	1889520	1417011	2007798	1696868	2009361	1281445	1695149	1745127	1761609	1755998	2170120	1556807	2138075	1956523	803800	1476078	1513503	1124796	780096	942823	726163	843666	399087	1884078	1563877	1882980	1370933	1401347	1468116	1464645	2292290	905740	1272725	1041943	1476822	1682935	1586973	1279519	1236126	1270403	1106805	972893	661773	1083952	665818	1301366	987809	1794441	1432535	1904481	1267517	2328071	1394551	992947	1151665	2767019	2354222	3946657	2618434	1916374	3165337	3052218	4280649	467794	512617	332065	271448	834747	737872	1287706	626311	2061722	1173315	1936017	1678114	1312726	260170	364208	276350
Putrescine	Putrescine	511128	350353	372012	383676	416078	295913	385787	491519	279345	372292	490608	374418	251009	352973	362842	309372	295729	301820	382746	503442	244843	339336	353693	313242	316016	501626	390520	323090	302739	403732	419199	901428	931889	357727	2062702	684481	427954	394654	342946	324643	349527	220956	247562	301162	274933	334182	215605	254858	254066	267442	396289	390705	260756	288393	358209	365302	359133	329414	413694	952622	875923	394390	470796	1120076	949771	317317	337103	456848	347964	399954	400249	795772	767002	258788	247663	1137987	645169	408479	302717	319813	299041	275704	325239	436633	847586	583222	371860	418848	1096776	724969	302549	345125	333660	376531
Pyridoxal	Pyridoxal	712631	950077	1314580	976322	566313	813020	357170	281010	465040	600714	331326	887083	827285	1324720	7702724	1245886	648347	674433	216909	201976	5679842	908758	1026602	971782	1999916	1105910	646494	4270634	723210	721636	254585	1273671	1171209	1197924	945730	1987577	1636343	1717199	1447262	1805484	1521053	827813	5982959	749876	7393501	909640	4880597	1332849	1195777	661478	1117639	840845	852713	3641494	1138278	1223064	461611	913262	3175889	1019644	1076259	1015401	4839794	1517929	1123666	6607285	7259338	9497522	6541459	2038595	6130531	507762	1034403	6080212	1226641	615092	569632	8159294	1155389	1201445	4224926	1127391	594959	3730624	1790175	1347808	8802211	1016585	1294226	1444003	8534793	1286697	7857865	5925444
Pyrogallol	1,2,3-Trihydroxybenzene	855301	932280	374098	1063076	432620	690138	534162	544046	942174	1064762	612186	708698	137669	1480405	645289	1122264	1034807	1485053	885449	809764	451071	1315435	224563	1635801	1125349	960450	650549	133489	1280858	652241	377254	769894	91415	522304	623003	328704	1023551	1070919	869307	755650	853672	384558	1265115	1136513	1708871	1106399	1236533	1195185	1202777	650386	549336	575226	1193703	1085771	607723	965097	230826	856868	694099	63235	493487	945569	1359482	171269	135046	848367	1090749	428389	959464	549293	245143	164527	267705	534257	823241	153332	210100	487587	744104	910984	1103067	370394	223069	1395617	96159	198987	2010758	343658	317506	198814	1227856	1257280	1125213	1696673
Pyroglutamic acid	Pyroglutamic acid	14415969	14306715	12582379	13260882	13624592	7592615	2666782	3499820	11757041	11075861	3999457	4716557	10271550	12575455	6581264	9958674	10567494	10117367	4180285	3688115	4720304	12757244	3817787	10499245	10238699	13821431	12253789	8735320	12829129	6071153	3093505	4830457	4482461	11323716	6028870	3936901	15281448	5063942	4898435	5987093	11287816	9238862	11455312	17285733	12299562	14043195	3951684	11097763	12473163	11106694	6457810	11035078	14423806	10731453	11002283	11502634	11115976	9588605	2990110	4342066	4257495	11585628	5074231	3183413	4369459	8291180	13005668	11724815	9018844	12191602	21723328	3313761	4274888	10742500	10916791	5653109	3322277	15350974	12485788	14320059	11979541	10355217	10984401	4610987	6189502	3668657	15061406	5070532	4547764	2665053	12262165	13103878	11110089	7691230
Ribulose-5-phosphate	Ribulose 5-phosphate	1047136	2511095	3670831	2467788	1552319	77589	1666140	1458104	508538	937393	2350892	1149106	3584094	3883800	2268678	3358832	3290380	4324774	2026440	1919906	1959651	3945072	1109948	4689668	4588517	2335849	1861937	1292434	2604041	1852807	1730296	2693098	3507307	5146260	2283450	2963020	5056590	1730607	1264186	1667982	1761396	1349315	6168078	1297331	8428504	1241067	536470	4941240	2820102	1173582	1222740	1597208	1993899	7455758	4571284	2674632	2633338	5387430	1352892	3543602	2672556	3457023	1089865	2847211	2230548	4135643	11265803	5587908	7637885	4137505	9102146	1916596	2627107	3484754	3597202	2149936	2608841	3722829	1801341	6156309	2947755	2175223	6728749	1649266	4135282	2930487	11200118	1165126	2559493	2934007	7066114	4046647	8292175	2224245
Serine	Serine	3402663	3436529	3552865	3535819	3394439	3362550	2866651	3194532	3232318	2958894	3302922	2622352	3202399	3809923	3189658	3328196	3409897	3350678	2743732	3480582	2648795	3383268	2997715	3440270	3125706	3467337	3717470	2964450	3602098	2941713	2786219	3598628	3463776	3621805	4000755	3050820	3889215	3395600	2639861	2517038	3629052	3482311	3305496	4428494	3284844	3097826	3127973	3331437	3137036	3118553	3146811	3318383	3083645	3193993	3994586	3237768	3117410	3572475	2859703	2991955	3027314	3717697	3000901	3651386	3179906	3761359	4258593	4914657	3680042	4039782	7680892	3028704	3488696	3203246	3586468	3568421	2904191	4577377	3780588	4947357	4232003	3725228	3654702	3386042	4087269	3174996	4516521	2780716	3434284	3181206	3835829	4637369	4121772	3536112
Serine phosphate		290819	255446	285276	306335	322816	324903	288387	339768	267556	267790	275278	305865	247372	258661	318846	264274	265034	306490	250159	317818	240529	306271	224109	311711	289851	339407	320798	232400	323732	339304	261909	320656	327742	325766	310426	336764	342824	287506	331751	299017	321523	258406	267125	248072	347733	340079	183163	299736	252470	246852	330094	328689	305424	321400	320091	278740	271157	298972	297206	311671	319907	288083	265401	342561	335305	240423	323463	244514	292027	306247	304211	289830	292069	238492	269088	278026	204958	255802	227095	254542	242378	214349	223363	332376	302658	311996	304779	268164	310256	249440	291466	244948	302674	334953
Spermine	Spermine	3831003	3268070	3014250	2949341	503039	2866965	2739331	2873935	3233348	9338184	3090598	2996379	186963	11720293	4074595	2864826	2785246	307263	3032032	2736045	2443671	3366607	2168656	3350271	296087	3022923	4087849	3146101	3556061	3090858	1859297	2443982	408444	3244104	2400362	3266070	3270549	3052575	2843672	2537454	2757076	3718605	3445267	3909339	373946	3403618	2391899	2760986	270539	2883808	3052115	17273030	269585	4032432	465204	417089	190477	124326	2767737	2242305	3172511	528986	3419976	2786015	2705873	2884614	2970436	3589390	3062453	3176189	3454615	2376358	3018999	432957	3111714	2161057	2340746	4064952	490838	1638170	136788	2980611	281062	3351498	3440925	2683985	3604341	3185601	2200963	3253031	3353407	3472516	97173	4257252
Sugar alcohol	Sorbitol	60882	58958	62987	55700	63501	26330	19354	41694	34688	50356	38646	31979	56677	45497	22920	40164	51736	41166	42363	38629	20680	65022	22306	46578	55230	58434	45262	42643	64520	31795	27606	36711	32572	81499	33448	39015	69900	31671	33732	30533	80953	76967	74837	55450	57966	39573	23822	67504	49461	66116	59391	52376	45326	64794	55159	50954	57894	38675	28492	31504	31612	60675	24984	23515	26199	34896	55459	114099	35661	76733	80693	28971	38703	72309	49351	31185	20891	99978	63084	54193	26234	54006	55701	32579	40544	19768	51070	25716	37394	22047	78254	34963	49739	30613
Taurine	Taurine	135159204	121758877	119512886	122227931	149045583	130097520	117964926	118906290	117386107	121673561	133235069	95909062	107217076	138656446	124837289	130691981	124553824	135118668	120642979	133847302	102762495	135052328	90552446	137180967	118065942	142690243	134677155	118644799	134788505	103638131	95956170	136053139	139599051	125946211	113376699	134275237	150947759	121025720	113162801	96473067	125949648	152083119	99636538	112095298	117799587	116516430	100929895	123629977	103401131	99440066	111839282	109673074	111095711	112735533	135197933	129819980	143936921	133964780	107365232	124970327	142308434	154496765	132619389	134175964	138107514	94361515	135168964	129084648	108148527	121236084	156741265	120571285	129910878	97141816	117851215	148415766	107437955	146736490	114100513	143402178	113342624	89922630	126010753	128686888	165589399	119999162	170246194	104152331	147743700	138757924	121606958	123846208	109243336	131550861
Threonic acid	Threonic acid	2497551	2016253	1222761	2629154	2262471	3736525	3867620	1686897	2963287	2077135	2976171	1488373	827192	2956519	793748	2134451	1936757	2122409	2244522	3630845	597928	2445501	3159891	2715341	1768698	2817166	2487255	1634497	3326862	1933345	1477690	5071608	3301075	2293086	4536276	3198563	3948666	5229199	2795459	2029801	2075966	1492893	1936951	2941159	2825114	2799592	5735108	2120286	2627308	1996347	2275707	2750992	2820924	1575930	2308792	2909040	1852726	2129249	992703	3206924	4089211	2227494	2919320	3664951	4886241	2617015	2149544	1823723	2463306	2589434	2177374	4552923	3811977	2485372	3646404	6246157	3282630	3698018	2145182	1838939	1839437	1022903	1245240	2369095	3582140	2338057	3444836	3344738	5598988	3379174	2030560	4137073	1733260	1778551
Threonine	Threonine	1985972	2342309	2280969	2219533	2187150	1744138	1426603	1646108	2320821	1799656	1785658	1311936	1793274	2422733	1488110	1931888	1926038	1905626	1541610	1663146	1238928	2037728	1424165	2175856	2244866	1876591	1888860	1642877	2331693	1524043	1259499	2041694	2042495	2663250	1834530	1552503	2568113	2030204	1258349	1160701	1974631	2225300	2634829	2950470	2405222	1996347	1445180	2197059	2279337	2218953	1815325	1855690	2073079	2685350	2680702	2092746	2021738	2312070	1306066	1406679	1591448	2365041	1779831	1775122	1863605	2243021	2896934	3406298	2239730	2450469	4654120	1449971	1649827	2277743	2653917	1988770	1400475	3106505	2311845	3526983	3069791	2214179	2594154	1915156	2376752	1626015	3478228	1572594	1846755	1551598	2651057	3804822	3557133	2437386
Trigonelline	Trigonelline	1593416	1821329	1396610	1280264	1427475	1180017	1156475	1249447	1462780	1503965	2084863	1152644	1483876	1354056	1405255	1453042	1569977	1703668	1569004	1731962	1429570	1545117	1341816	1723737	1617292	1811249	1667110	1480176	1774670	1241015	1112044	1538380	1187392	1520388	6919741	1567066	1705131	1460642	1171008	1220933	1601261	1322344	1318046	984161	1487191	1639173	1498824	1566792	1430287	1154562	1586728	1561984	1517582	1048273	1531652	1405746	1690411	1388461	1410690	1411606	1763086	1792719	2091313	1784614	1915723	1266410	1440938	1874729	1509126	1437616	2138016	1543643	2304788	1582714	1531670	2007437	1486409	2311188	2191951	2421520	2245217	1588076	2172239	1876278	2553722	1695647	2527224	1685273	1982454	2246828	1528751	2343684	2331063	2618132
